DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
4008.1,0.028,192.855,0.147,0.099,,17.084,0.117,5.704,2.386,39.336,Sandstone
4008.2,0.028,171.208,0.149,0.106,,17.969,0.116,5.654,2.38,39.902,Sandstone
4008.3,0.027,128.027,0.148,0.12,,19.598,0.114,5.629,2.381,41.12,Sandstone
4008.4,0.027,132.221,0.145,0.115,,19.07,0.11,5.633,2.385,42.702,Sandstone
4008.5,0.026,121.717,0.143,0.118,,19.391,0.11,5.644,2.39,45.462,Sandstone
4008.6,0.026,91.812,0.143,0.131,,21.027,0.112,5.622,2.392,45.879,Sandstone
4008.7,0.026,79.791,0.144,0.139,,21.945,0.113,5.56,2.391,45.284,Sandstone
4008.8,0.026,85.175,0.144,0.136,,21.596,0.114,5.494,2.391,44.638,Sandstone
4008.9,0.027,101.49,0.143,0.126,,20.365,0.113,5.45,2.395,41.099,Sandstone
4009,0.028,131.705,0.138,0.109,,18.304,0.11,5.436,2.406,37.946,Sandstone
4009.1,0.027,111.217,0.13,0.111,,18.477,0.107,5.449,2.425,40.001,Sandstone
4009.2,0.026,83.498,0.121,0.116,,19.22,0.105,5.487,2.448,42.774,Sandstone
4009.3,0.025,68.078,0.114,0.12,,19.588,0.103,5.542,2.468,45.408,Sandstone
4009.4,0.024,68.829,0.109,0.115,,18.967,0.101,5.6,2.481,46.736,Sandstone
4009.5,0.024,85.512,0.106,0.102,,17.425,0.099,5.641,2.486,47.107,Sandstone
4009.6,0.024,72.594,0.105,0.109,,18.257,0.098,5.668,2.488,46.124,Sandstone
4009.7,0.024,64.386,0.104,0.114,,18.912,0.097,5.678,2.488,46.864,Sandstone
4009.8,0.024,66.302,0.105,0.113,,18.811,0.098,5.653,2.486,48.755,Sandstone
4009.9,0.024,73.173,0.107,0.11,,18.459,0.099,5.585,2.482,49.268,Sandstone
4010,0.023,78.058,0.11,0.11,,18.391,0.1,5.488,2.475,51.009,Sandstone
4010.1,0.024,87.618,0.113,0.107,,18.059,0.102,5.395,2.467,50.728,Sandstone
4010.2,0.023,88.985,0.117,0.11,,18.413,0.104,5.324,2.458,52.264,Sandstone
4010.3,0.023,112.06,0.124,0.104,,17.741,0.107,5.267,2.443,54.079,Sandstone
4010.4,0.024,148.274,0.132,0.099,,17.024,0.113,5.202,2.425,55.168,Sandstone
4010.5,0.024,185.929,0.142,0.096,,16.74,0.119,5.123,2.404,55.336,Sandstone
4010.6,0.024,169.53,0.15,0.108,,18.207,0.123,5.051,2.384,56.511,Sandstone
4010.7,0.024,185.774,0.156,0.109,,18.256,0.125,5.017,2.37,55.919,Sandstone
4010.8,0.024,271.99,0.157,0.091,,16.16,0.123,5.024,2.364,56.599,Sandstone
4010.9,0.024,282.909,0.155,0.088,,15.684,0.12,5.056,2.368,56.597,Sandstone
4011,0.024,278.233,0.151,0.085,,15.369,0.118,5.087,2.376,56.091,Sandstone
4011.1,0.024,228.446,0.148,0.092,,16.208,0.117,5.092,2.384,57.558,Sandstone
4011.2,0.024,198.586,0.147,0.098,,16.913,0.117,5.075,2.387,57.383,Sandstone
